GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
codera-ci-tooling-service-jenkins,uk.co.codera.ci.tooling.jenkins,JenkinsConfiguration.Builder,0,14,0,0,0,5,0,3,0,3
codera-ci-tooling-service-jenkins,uk.co.codera.ci.tooling.jenkins,CreateJobCommand.Builder,0,19,0,0,0,6,0,4,0,4
codera-ci-tooling-service-jenkins,uk.co.codera.ci.tooling.jenkins,DeleteJobCommand,0,26,0,0,0,6,0,4,0,4
codera-ci-tooling-service-jenkins,uk.co.codera.ci.tooling.jenkins,CreateJobCommand,5,48,0,0,0,14,0,5,0,5
codera-ci-tooling-service-jenkins,uk.co.codera.ci.tooling.jenkins,JenkinsCommand.Builder,0,8,0,0,0,3,0,2,0,2
codera-ci-tooling-service-jenkins,uk.co.codera.ci.tooling.jenkins,JenkinsConfiguration,0,15,0,0,0,5,0,3,0,3
codera-ci-tooling-service-jenkins,uk.co.codera.ci.tooling.jenkins,JenkinsJobCreator,0,28,0,0,0,9,0,2,0,2
codera-ci-tooling-service-jenkins,uk.co.codera.ci.tooling.jenkins,JenkinsJobDeleter,0,19,0,0,0,7,0,2,0,2
codera-ci-tooling-service-jenkins,uk.co.codera.ci.tooling.jenkins,JenkinsCommand,0,30,0,0,0,6,0,3,0,3
codera-ci-tooling-service-jenkins,uk.co.codera.ci.tooling.jenkins,JenkinsService,7,49,0,0,2,14,1,5,1,5
codera-ci-tooling-service-jenkins,uk.co.codera.ci.tooling.jenkins,DeleteJobCommand.Builder,0,14,0,0,0,4,0,3,0,3
codera-ci-tooling-service-jenkins,uk.co.codera.ci.tooling.jenkins,JenkinsCommandLineInterfaceInvoker,6,17,0,0,2,7,0,3,0,3
